,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,marketState,currency,regularMarketChangePercent,regularMarketPrice,gmtOffSetMilliseconds,esgPopulated,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,averageAnalystRating,tradeable,cryptoTradeable,firstTradeDateMilliseconds,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChange,regularMarketTime,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,market,price,ipoExpectedDate,trailingPE,displayName,prevName,nameChangeDate,newListingDate,underlyingSymbol,openInterest
APPF,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,2.8625088,131.52,-18000000,False,1683543540.0,1683892800.0,0.0,0.0,-0.396,0.63,0.08,1644.0001,20649700.0,7.519,114.1756,17.344406,0.15190992,106.23465,25.285355,0.23801419,4655294976.0,208.76192,17.491688,15,0,2.8 - Hold,False,False,1435325400000.0,2,0.0,1676668887.0,131.52,0.0,3.6600037,1676667604,131.7,125.45 - 131.7,125.45,172459,127.86,130.77,130.86,8,10.0,NasdaqGM,USD,127.84,97606,96410,51.597008,0.645584,79.923 - 131.74,-0.22000122,-0.0016699652,79.923,131.74,,1674770400.0,NGM,"AppFolio, Inc.","AppFolio, Inc.",finmb_44299616,America/New_York,EST,us_market,131.52,,,AppFolio,,,,,
APPH,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-7.773513,0.8649,-18000000,False,1677099600.0,1677531600.0,0.0,0.0,-1.671,-0.59,-1.13,-0.7653982,107904000.0,3.2,1.25218,-0.38728,-0.3092846,2.322415,-1.4575151,-0.62758595,93326168.0,-1.4659323,0.27028126,15,0,2.7 - Hold,False,False,1591968600000.0,4,1.68805,1676681989.0,0.8795,0.0146,-0.0729,1676667604,0.9353,0.8555 - 0.9353,0.8555,4055958,0.9378,0.8602,0.8799,12,11.0,NasdaqGS,USD,0.9345,3801806,7300700,0.39589998,0.8441364,0.469 - 7.05,-6.1851,-0.87731916,0.469,7.05,,1667856600.0,NMS,"AppHarvest, Inc.","AppHarvest, Inc.",finmb_552898539,America/New_York,EST,us_market,0.8649,,,AppHarvest,Novus Capital Corporation,2023-02-17,,,
APPN,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,2.4520698,45.96,-18000000,False,1683111540.0,1683547200.0,0.0,0.0,-1.375,-0.77,-1.22,-37.67213,41049800.0,2.384,37.8035,8.156498,0.21576038,44.085274,1.8747253,0.04252498,3334287616.0,-59.688313,19.278522,15,0,2.7 - Hold,False,False,1495719000000.0,2,0.0,1676680831.0,45.96,0.0,1.0999985,1676667604,47.47,45.05 - 47.47,45.05,806613,44.86,44.83,47.51,10,8.0,NasdaqGM,USD,46.45,466483,475110,16.16,0.54228187,29.8 - 66.91,-20.950005,-0.31310722,29.8,66.91,,1676583000.0,NGM,Appian Corporation,Appian Corporation,finmb_6512739,America/New_York,EST,us_market,45.96,,,Appian,,,,,
APPS,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-1.5588449,12.63,-18000000,False,1675891800.0,1675891800.0,0.0,0.0,0.48,1.19,1.18,10.70339,99197104.0,6.108,15.5238,-2.8937998,-0.18641053,17.894,-5.263999,-0.2941768,1252859392.0,10.613445,2.06778,15,0,2.0 - Buy,False,False,1152192600000.0,2,-1.18765,1676681991.0,12.48,-0.150001,-0.19999981,1676667604,12.68,12.15 - 12.68,12.15,2075341,12.83,12.48,12.7,8,13.0,NasdaqCM,USD,12.4,2164160,3664280,1.9800005,0.18591554,10.65 - 49.3,-36.67,-0.74381334,10.65,49.3,,1675891800.0,NCM,"Digital Turbine, Inc.","Digital Turbine, Inc.",finmb_29032475,America/New_York,EST,us_market,12.63,,26.3125,Digital Turbine,,,,,
APRE,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-2.535209,6.92,-18000000,False,1678705140.0,1679054400.0,0.0,0.0,-1.649,-9.2,-72.7,-0.0951857,52997800.0,10.194,8.72788,-1.8078794,-0.20713845,14.04367,-7.1236696,-0.5072513,366744768.0,-0.75217396,0.6788307,15,0,1.5 - Strong Buy,False,False,1570109400000.0,2,-1.15607,1676680119.0,6.84,-0.0799999,-0.17999983,1676667274,7.15,6.88 - 7.15,6.88,8515,7.1,4.42,8.0,18,12.0,NasdaqGS,USD,7.14,10623,14401,6.446,13.599156,0.474 - 40.8,-33.879997,-0.8303921,0.474,40.8,,1668028500.0,NMS,"Aprea Therapeutics, Inc.","Aprea Therapeutics, Inc.",finmb_329831339,America/New_York,EST,us_market,6.92,,,Aprea Therapeutics,,,,,
APTM,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,-0.04923796,10.15,-18000000,False,,,0.0,0.0,0.011,,,,29115000.0,-0.293,10.0652,0.08479977,0.008425046,9.846355,0.30364418,0.03083823,367201600.0,,-34.641636,15,0,,False,False,1632403800000.0,2,,,,,-0.0050001144,1676644746,10.16,10.15 - 10.16,10.15,15836,10.155,10.15,16.24,29,8.0,NasdaqCM,USD,10.15,49604,3820,0.53999996,0.056191467,9.61 - 10.55,-0.40000057,-0.037914746,9.61,10.55,,,NCM,Alpha Partners Technology Merge,Alpha Partners Technology Merger Corp.,finmb_704721043,America/New_York,EST,us_market,10.15,2021-09-17,922.72723,Alpha Partners Technology Merger,,,,,
APTO,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-3.021578,0.674,-18000000,False,1679309940.0,1679659200.0,0.0,0.0,-0.674,-0.44,-0.45,-1.4977778,92294704.0,0.507,0.6478,0.026199996,0.040444575,0.73825,-0.06424999,-0.08703013,63016640.0,-1.5318183,1.3293885,15,0,1.7 - Buy,False,False,700756200000.0,4,3.85756,1676681674.0,0.7,0.026,-0.020999968,1676667589,0.6948,0.6723 - 0.6948,0.6723,64110,0.695,0.66,0.7,18,11.0,NasdaqCM,USD,0.693,286121,124870,0.24400002,0.5674419,0.43 - 1.55,-0.8759999,-0.5651613,0.43,1.55,,1667336400.0,NCM,"Aptose Biosciences, Inc.",Aptose Biosciences Inc.,finmb_121269,America/New_York,EST,us_market,0.674,,,Aptose Biosciences,,,,,
APTX,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,-3.3011014,0.58,-18000000,False,1679396340.0,1679918400.0,0.0,0.0,-1.19,-0.73,-0.98,-0.5918367,67715696.0,0.721,0.4118,0.16819999,0.40845066,0.44035,0.13964999,0.31713408,39275104.0,-0.7945205,0.80443823,15,0,2.2 - Buy,False,False,1529587800000.0,4,-0.17241158,1676675306.0,0.579,-0.0009999871,-0.019800007,1676667604,0.6,0.55 - 0.6,0.55,262473,0.5998,0.5462,0.6,10,32.0,NasdaqCM,USD,0.59,326765,725210,0.38,1.9,0.2 - 3.66,-3.0800002,-0.8415301,0.2,3.66,,1667944800.0,NCM,Aptinyx Inc.,Aptinyx Inc.,finmb_336341295,America/New_York,EST,us_market,0.58,,,Aptinyx,,,,,
APVO,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,0.21608032,1.9943,-18000000,False,1668085500.0,1668085500.0,0.0,0.0,1.09,-6.86,0.93,2.1444087,5091760.0,3.096,2.33254,-0.33824003,-0.14500931,3.34739,-1.3530899,-0.40422237,10154497.0,-0.2907143,0.6441538,15,0,2.0 - Buy,False,False,1469021400000.0,4,0.285814,1676678715.0,2.0,0.00569999,0.0042999983,1676667458,2.04,1.96 - 2.04,1.96,58278,1.99,1.97,1.99,30,10.0,NasdaqCM,USD,2.0,814052,73330,0.05429995,0.027989665,1.94 - 7.2,-5.2057,-0.7230139,1.94,7.2,1585267200.0,1668085500.0,NCM,Aptevo Therapeutics Inc.,Aptevo Therapeutics Inc.,finmb_331280020,America/New_York,EST,us_market,1.9943,,1.829633,Aptevo Therapeutics,,,,,
APWC,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,2.57616,1.5489,-18000000,False,1609767000.0,1609767000.0,0.0,0.0,-0.191,,,,20616200.0,6.988,1.4216,0.12730002,0.08954701,1.35595,0.19295001,0.14229876,31932432.0,,0.2216514,15,0,,False,False,1058275800000.0,4,-8.322039,1676677609.0,1.42,-0.12890005,0.038900018,1676664352,1.5489,1.41 - 1.5489,1.41,8445,1.51,1.42,1.55,22,18.0,NasdaqCM,USD,1.41,12959,9050,0.47889996,0.44757003,1.07 - 2.22,-0.6711,-0.3022973,1.07,2.22,1543536000.0,1609767000.0,NCM,Asia Pacific Wire & Cable Corpo,Asia Pacific Wire & Cable Corporation Limited,finmb_361699,America/New_York,EST,us_market,1.5489,,,Asia Pacific Wire & Cable,,,,,
APXI,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,0.0009545922,10.3901,-18000000,False,,,0.0,0.0,,,,,17250000.0,-0.056,10.3078,0.08229923,0.007984171,10.13304,0.2570591,0.025368407,224036528.0,,-185.53749,15,0,,False,False,1643380200000.0,2,,,,,9.918213e-05,1676667383,10.4,10.39 - 10.4,10.39,77763,10.39,10.39,16.62,9,8.0,NasdaqGM,USD,10.3901,78793,134990,0.5000992,0.050566144,9.89 - 10.525,-0.1349001,-0.012817112,9.89,10.525,,,NGM,APx Acquisition Corp. I,APx Acquisition Corp. I,finmb_1759131636,America/New_York,EST,us_market,10.3901,2022-01-27,,,,,,,
APYX,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,1.5432084,3.29,-18000000,False,1678968000.0,1678968000.0,0.0,0.0,-0.472,-0.58,-0.64,-5.140625,34597800.0,1.214,2.6132,0.6768,0.25899282,4.756875,-1.4668751,-0.3083695,113826760.0,-5.672414,2.7100494,15,0,2.2 - Buy,False,False,1546439400000.0,4,2.43161,1676681622.0,3.37,0.0799999,0.049999952,1676667605,3.3,3.15 - 3.3,3.15,54388,3.24,3.06,3.57,10,10.0,NasdaqGS,USD,3.28,251804,125950,1.98,1.5114504,1.31 - 11.189,-7.899,-0.7059612,1.31,11.189,,1678968000.0,NMS,Apyx Medical Corporation,Apyx Medical Corporation,finmb_250771,America/New_York,EST,us_market,3.29,,,Apyx Medical,,,,,
AQMS,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-1.7391288,1.13,-18000000,False,1677099600.0,1677531600.0,0.0,0.0,-0.26,-0.13,-0.2,-5.65,78386704.0,0.3,1.05584,0.07415998,0.0702379,0.90399,0.22601002,0.25001386,88576976.0,-8.692308,3.7666664,15,0,1.5 - Strong Buy,False,False,1438349400000.0,4,-1.76991,1676670582.0,1.11,-0.02,-0.01999998,1676667604,1.14,1.11 - 1.14,1.11,150565,1.15,1.11,1.16,18,8.0,NasdaqCM,USD,1.12,474068,254460,0.63,1.26,0.5 - 1.67,-0.53999996,-0.3233533,0.5,1.67,,1667507400.0,NCM,"Aqua Metals, Inc.","Aqua Metals, Inc.",finmb_274121159,America/New_York,EST,us_market,1.13,,,Aqua Metals,,,,,
AQST,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,-0.50122553,0.8139,-18000000,False,1678100340.0,1678449600.0,0.0,0.0,-1.747,-0.82,-1.11,-0.7332432,54156000.0,-2.002,0.89684,-0.08293998,-0.09248025,0.99662,-0.18272,-0.1833397,44077568.0,-0.992561,-0.40654343,15,0,2.0 - Buy,False,False,1532525400000.0,4,-0.4791733,1676680846.0,0.81,-0.0038999915,-0.0041000247,1676667590,0.8175,0.7802 - 0.8175,0.7802,128111,0.818,0.79,0.83,9,10.0,NasdaqGM,USD,0.8092,261995,310860,0.19590002,0.31699035,0.618 - 3.19,-2.3761,-0.7448589,0.618,3.19,,1667390400.0,NGM,"Aquestive Therapeutics, Inc.","Aquestive Therapeutics, Inc.",finmb_8142504,America/New_York,EST,us_market,0.8139,,,Aquestive Therapeutics,,,,,
ARAV,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-4.0201025,1.91,-18000000,False,1680120000.0,1680552000.0,0.0,0.0,-2.122,-1.1,-1.8,-1.0611111,59826900.0,0.493,1.6638,0.24619997,0.14797449,1.19673,0.71326995,0.59601575,114269376.0,-1.7363635,3.8742392,15,0,1.6 - Buy,False,False,1395408600000.0,4,3.14136,1676678680.0,1.97,0.0600001,-0.08000004,1676667604,2.03,1.89 - 2.03,1.89,222852,1.99,1.93,1.93,22,11.0,NasdaqGS,USD,1.93,129265,173510,1.3299999,2.2931035,0.58 - 2.36,-0.44999993,-0.19067794,0.58,2.36,1539648000.0,1668081600.0,NMS,"Aravive, Inc.","Aravive, Inc.",finmb_59516531,America/New_York,EST,us_market,1.91,,,Aravive,,,,,
ARAY,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,-2.5157285,3.1,-18000000,False,1682420340.0,1682942400.0,0.0,0.0,-0.141,0.11,-0.06,-51.666668,95494704.0,0.542,2.3816,0.7184,0.30164596,2.22975,0.87025,0.3902904,296033568.0,28.181818,5.7195573,15,0,1.7 - Buy,False,False,1170945000000.0,4,3.2258112,1676669529.0,3.2,0.10000014,-0.08000016,1676667605,3.19,3.01 - 3.19,3.01,361296,3.18,3.09,3.2,12,9.0,NasdaqGS,USD,3.19,369480,436080,1.3999999,0.8235293,1.7 - 3.67,-0.5700002,-0.1553134,1.7,3.67,,1675287000.0,NMS,Accuray Incorporated,Accuray Incorporated,finmb_739115,America/New_York,EST,us_market,3.1,,,,,,,,
ARBE,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,12.113396,4.35,-18000000,False,,,0.0,0.0,-1.342,-0.23,-0.59,-7.3728814,64249000.0,0.9,3.6459,0.7040999,0.19312102,5.218485,-0.868485,-0.16642474,279483136.0,-18.913042,4.8333335,15,0,2.0 - Buy,False,False,1604064600000.0,4,0.68966,1676679332.0,4.38,0.03000021,0.4699998,1676667605,4.4299,3.92 - 4.4299,3.92,149117,3.88,4.05,4.38,14,13.0,NasdaqCM,USD,3.92,57240,59980,1.4549999,0.50259066,2.895 - 9.03,-4.68,-0.5182724,2.895,9.03,,,NCM,Arbe Robotics Ltd.,Arbe Robotics Ltd.,finmb_379289324,America/New_York,EST,us_market,4.35,2021-10-08,,Arbe Robotics,,,,,
ARBG,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,0.49504197,10.15,-18000000,False,1617015540.0,1617015540.0,0.0,0.0,0.24,,,,23000000.0,-0.285,10.0208,0.12919998,0.01289318,9.949655,0.20034504,0.02013588,291812480.0,,-35.614033,15,0,,False,False,1610375400000.0,2,,,,,0.049999237,1676317847,10.15,10.15 - 10.15,10.15,1,10.1,4.06,16.24,10,18.0,NasdaqCM,USD,10.0455,1318,120,0.3699999,0.0378323,9.78 - 10.5,-0.35000038,-0.03333337,9.78,10.5,,1617015540.0,NCM,Aequi Acquisition Corp.,Aequi Acquisition Corp.,finmb_688377411,America/New_York,EST,us_market,10.15,,42.291664,Aequi,,,,,
ARBK,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,2.777782,1.85,-18000000,False,,,0.0,0.0,0.79,-1.05,-1.64,-1.1280488,47782500.0,3.46,1.36572,0.48428,0.35459682,3.318355,-1.4683551,-0.44249487,93399104.0,-1.7619048,0.5346821,15,0,3.2 - Hold,False,False,1632403800000.0,4,-4.32433,1676681838.0,1.77,-0.08,0.05000007,1676667604,1.87,1.6 - 1.87,1.6,291458,1.8,1.84,1.87,9,40.0,NasdaqGS,GBP,1.75,616213,986930,1.49,4.138889,0.36 - 10.75,-8.9,-0.82790697,0.36,10.75,,,NMS,Argo Blockchain plc,Argo Blockchain plc,finmb_551829728,America/New_York,EST,us_market,1.85,2021-09-23,2.341772,Argo Blockchain,,,,,
ARCB,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,0.5609681,102.18,-18000000,False,1682598600.0,1682944200.0,0.44,0.0043302826,11.69,11.61,10.09,10.126858,24229300.0,47.521,81.616,20.564003,0.25196046,78.9845,23.195503,0.2936716,2475749888.0,8.801034,2.1502073,15,0,2.1 - Buy,False,False,705763800000.0,2,0.5578388,1676674138.0,102.75,0.5699997,0.5699997,1676667605,103.46,101.0 - 103.46,101.0,222593,101.61,102.36,105.0,9,8.0,NasdaqGS,USD,101.54,258286,421470,37.019997,0.56813985,65.16 - 103.57,-1.3899994,-0.013420869,65.16,103.57,1677542400.0,1675434600.0,NMS,ArcBest Corporation,ArcBest Corporation,finmb_25063,America/New_York,EST,us_market,102.18,,8.740805,ArcBest,,,,,
ARCC,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,-0.4048579,19.68,-18000000,False,1682339400.0,1682685000.0,1.75,0.08856275,1.19,2.27,2.38,8.268908,531368992.0,18.41,19.107,0.57299995,0.029989006,19.06295,0.6170502,0.03236908,10457341952.0,8.669603,1.0689843,15,0,1.7 - Buy,False,False,1096983000000.0,2,0.6097507,1676681710.0,19.8,0.11999893,-0.07999992,1676667604,19.77,19.53 - 19.77,19.53,2684434,19.76,19.65,19.68,18,31.0,NasdaqGM,USD,19.76,2849922,3644890,3.1499996,0.19056258,16.53 - 22.65,-2.9699993,-0.1311258,16.53,22.65,1545955200.0,1675789200.0,NGM,Ares Capital Corporation - Clos,Ares Capital Corporation,finmb_9771238,America/New_York,EST,us_market,19.68,,16.537815,Ares Capital,,,,,
ARCE,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-1.8794105,12.53,-18000000,False,1669932000.0,1669932000.0,0.0,0.0,-0.262,0.45,0.31,40.419353,39886800.0,33.436,13.0144,-0.4843998,-0.037220296,13.3742,-0.84420013,-0.06312154,843113600.0,27.844444,0.37474576,15,0,2.3 - Buy,False,False,1537968600000.0,2,0.0,1676667602.0,12.53,0.0,-0.24000072,1676667604,12.66,12.36 - 12.66,12.36,63581,12.77,11.6,13.1,10,13.0,NasdaqGS,BRL,12.66,194427,82560,4.68,0.59617835,7.85 - 22.74,-10.21,-0.4489886,7.85,22.74,,1669932000.0,NMS,Arco Platform Limited,Arco Platform Limited,finmb_578745457,America/New_York,EST,us_market,12.53,,,Arco Platform,,,,,
ARCT,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,2.7824152,18.47,-18000000,False,1677531600.0,1677877200.0,0.0,0.0,-7.533,-5.33,-3.13,-5.900958,26555500.0,5.499,18.6838,-0.21380043,-0.011443092,17.3939,1.0760994,0.06186648,490480064.0,-3.4652908,3.3587923,15,0,2.6 - Hold,False,False,1369229400000.0,2,1.13698,1676681475.0,18.68,0.210001,0.5,1676667605,18.552,17.67 - 18.552,17.67,285828,17.97,17.15,18.68,9,11.0,NasdaqGM,USD,17.92,411977,323370,6.7699995,0.5786325,11.7 - 31.41,-12.940001,-0.41197073,11.7,31.41,1510790400.0,1668029400.0,NGM,Arcturus Therapeutics Holdings ,Arcturus Therapeutics Holdings Inc.,finmb_235062181,America/New_York,EST,us_market,18.47,,,Arcturus Therapeutics,,,,,
ARDS,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,2.0581803,0.6,-18000000,False,1680120000.0,1680552000.0,0.0,0.0,-3.263,-0.81,-1.76,-0.3409091,25973500.0,-2.024,0.971,-0.371,-0.38208032,1.1918,-0.5918,-0.4965598,15584101.0,-0.7407408,-0.29644272,15,0,2.3 - Buy,False,False,1534253400000.0,4,8.96666,1676681998.0,0.6538,0.0538,0.012100041,1676667528,0.6049,0.58 - 0.6049,0.58,240125,0.5879,0.5901,0.5999,8,14.0,NasdaqCM,USD,0.58,955373,438440,0.030000031,0.052631635,0.57 - 2.77,-2.17,-0.78339356,0.57,2.77,,1669073400.0,NCM,Aridis Pharmaceuticals Inc.,"Aridis Pharmaceuticals, Inc.",finmb_34460448,America/New_York,EST,us_market,0.6,,,Aridis Pharmaceuticals,,,,,
ARDX,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,0.9966768,3.04,-18000000,False,1677504600.0,1677850200.0,0.0,0.0,-1.361,-0.4,-0.52,-5.846154,198575008.0,0.357,2.7232,0.31679988,0.11633368,1.46436,1.57564,1.0759922,603668032.0,-7.6,8.515407,15,0,1.7 - Buy,False,False,1403184600000.0,4,0.657894,1676681832.0,3.06,0.02,0.029999971,1676667605,3.09,2.99 - 3.09,2.99,2179687,3.01,3.04,3.06,12,22.0,NasdaqGM,USD,3.0,7333685,4224260,2.55,5.2040815,0.49 - 3.43,-0.3900001,-0.113702655,0.49,3.43,,1667507400.0,NGM,"Ardelyx, Inc.","Ardelyx, Inc.",finmb_58915635,America/New_York,EST,us_market,3.04,,,Ardelyx,,,,,
AREB,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,1.1315398,0.2145,-18000000,False,1668517202.0,1668517202.0,0.0,0.0,-4.293,0.03,-0.3,-0.715,16930500.0,1.42,0.21214,0.0023600012,0.011124735,0.50269,-0.28819,-0.57329565,3631592.0,7.15,0.15105633,15,0,2.0 - Buy,False,False,1644244200000.0,4,0.0,1676679677.0,0.2145,0.0,0.002399996,1676666718,0.222199,0.21 - 0.222199,0.21,124265,0.2121,0.2123,0.2192,40,11.0,NasdaqCM,USD,0.213,887850,322630,0.059499994,0.38387093,0.155 - 2.54,-2.3255,-0.9155512,0.155,2.54,,1668517202.0,NCM,"American Rebel Holdings, Inc.","American Rebel Holdings, Inc.",finmb_365351876,America/New_York,EST,us_market,0.2145,2022-02-07,,American Rebel,,,,,
AREC,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,-0.5813948,1.71,-18000000,False,1679947200.0,1680292800.0,0.0,0.0,-0.483,0.04,-0.19,-9.0,78123504.0,-0.135,1.4472,0.2628001,0.18159212,1.928825,-0.21882498,-0.11344989,133591192.0,42.750004,-12.666666,15,0,2.0 - Buy,False,False,1498829400000.0,4,0.0,1676681975.0,1.71,0.0,-0.00999999,1676667600,1.73,1.66 - 1.73,1.66,154572,1.72,1.71,1.72,18,8.0,NasdaqCM,USD,1.73,392921,253230,0.56000006,0.4869566,1.15 - 3.56,-1.8499999,-0.5196629,1.15,3.56,1495584000.0,1668459600.0,NCM,American Resources Corporation,American Resources Corporation,finmb_228580381,America/New_York,EST,us_market,1.71,,,American Resources,,,,,
ARGX,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,0.78310865,371.93,-18000000,False,,,0.0,0.0,-11.529,-9.62,-14.86,-25.028936,55483300.0,53.945,381.1258,-9.195801,-0.024127994,364.456,7.473999,0.020507274,21070020608.0,-38.662163,6.8946147,15,0,1.8 - Buy,False,False,1495114200000.0,2,0.0,1676667612.0,371.93,0.0,2.8899841,1676667604,372.475,362.85 - 372.475,362.85,204818,369.04,149.74,548.93,14,11.0,NasdaqGS,USD,366.27,217496,189910,115.48999,0.45035872,256.44 - 407.93,-36.0,-0.088250436,256.44,407.93,,,NMS,argenx SE,argenx SE,finmb_62120637,America/New_York,EST,us_market,371.93,,,,,,,,
ARHS,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-1.8518485,14.31,-18000000,False,1678368600.0,1678368600.0,0.0,0.0,0.68,0.88,0.88,16.261364,52947600.0,1.161,11.9988,2.3112001,0.19261926,8.3757,5.9343004,0.708514,2004301696.0,16.261364,12.325582,15,0,1.6 - Buy,False,False,1636032600000.0,2,-2.16632,1676680376.0,14.0,-0.31,-0.2699995,1676667604,14.53,14.015 - 14.53,14.015,677074,14.58,14.0,14.81,8,8.0,NasdaqGS,USD,14.47,787736,896120,10.08,2.3829787,4.23 - 15.27,-0.96000004,-0.06286837,4.23,15.27,,1678368600.0,NMS,"Arhaus, Inc.","Arhaus, Inc.",finmb_1684295272,America/New_York,EST,us_market,14.31,2021-11-04,21.044119,Arhaus,,,,,
ARIZ,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,0.0,10.22,-18000000,False,,,0.0,0.0,1.75,,,,8901390.0,-0.403,10.1274,0.09259987,0.009143499,9.963645,0.2563553,0.025729066,90972208.0,,-25.359802,15,0,,False,False,1639060200000.0,2,,,,,0.0,1676667555,10.22,10.22 - 10.22,10.22,1247,10.22,10.22,16.35,10,13.0,NasdaqGM,USD,10.25,10998,8600,0.44000053,0.04498983,9.78 - 10.25,-0.029999733,-0.0029268032,9.78,10.25,,,NGM,Arisz Acquisition Corp.,Arisz Acquisition Corp.,finmb_1684761840,America/New_York,EST,us_market,10.22,2021-12-09,5.84,Arisz,,,,,
ARKO,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,1.9753066,8.26,-18000000,False,1677531600.0,1677531600.0,0.06,0.007407407,0.54,0.48,0.53,15.584907,120075000.0,2.248,8.4808,-0.22079945,-0.026035216,8.993,-0.7329998,-0.08150782,991819520.0,17.208334,3.6743774,15,0,1.8 - Buy,False,False,1563888600000.0,2,0.0,1676668889.0,8.26,0.0,0.15999985,1676667604,8.31,7.97 - 8.31,7.97,191043,8.1,8.0,8.51,8,8.0,NasdaqCM,USD,8.17,234896,185790,0.8100004,0.10872489,7.45 - 10.81,-2.5500002,-0.2358927,7.45,10.81,1670284800.0,1677531600.0,NCM,ARKO Corp.,Arko Corp.,finmb_952512,America/New_York,EST,us_market,8.26,,15.296296,Arko,Arko Holdings Ltd.,2023-02-17,,,
ARKR,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-0.051804777,19.29,-18000000,False,1684148340.0,1684497600.0,0.375,0.019430052,2.44,,,,3600410.0,16.987,18.1474,1.142601,0.06296224,18.75965,0.53035164,0.028270872,75375096.0,,1.1355743,15,0,,False,False,503332200000.0,2,0.0,1676667613.0,19.26,0.0,-0.0099983215,1676667570,19.36,19.29 - 19.36,19.29,7341,19.3,18.75,22.0,18,18.0,NasdaqGM,USD,19.3001,6180,4930,3.790001,0.2445162,15.5 - 22.45,-3.1599998,-0.14075723,15.5,22.45,1670889600.0,1676390400.0,NGM,Ark Restaurants Corp.,Ark Restaurants Corp.,finmb_251829,America/New_York,EST,us_market,19.29,,7.905738,Ark Restaurants,,,,,
